凉亭	pavilion
期望	expectation
攻伐	potent
年头	period
精灵	sprite
藩	screen
谜题	riddle
激子	exciton
有板有眼	orderly
董座	chairman
同侪	peer
精制	refined
中坚	core
被窝	bedding
幼苗	bud
实	solid
热火朝天	frenzy
支出	expense
悲痛	sorrowful
风笛	bagpipes
阿尔法	alpha
字母	letter
没脸	ashamed
偶一	accidentally
短促	brief
彦	accomplished
威烈	formidable
批评者	critic
越位	offside
镇痛药	analgesic
屋檐	roof
有形	visible
鲛人	mermaid
勤勤	sincere
条款	clause
龙卷	twister
前腿	forelegs
困惑	bewildered
天疱疮	pemphigus
签呈	petition
涓涓	sluggish
水银	mercury
理	science
不是	blame
脑际	memory
地貌	landform
庸	ordinary
体腔	coelom
伉	strong
脑门子	forehead
曲线	curve
石灰石	limestone
额吉	mother
叫喊	yell
大不了	alarming
周遭	nearby
植物	vegetation
内在	intrinsic
性	attribute
球座	tee
举动	action
诠释学	hermeneutics
服	garment
传道者	preacher
豇豆	cowpea
队伍	line
鼻头	nose
血吸虫	schistosoma
示威者	demonstrator
事实上	actually
调式	mode
名叫	called
间质	mesenchyme
称心	agreeable
吐字	enunciation
触媒	catalyst
高高低低	uneven
醉心	enthralled
婆婆	mother-in-law
威权	power
外部	external
书斋	study
合得来	compatible
类似点	resemblance
犍	bullock
从来	never
包房	compartment
嚣张	aggressive
贪食	glutton
矮	short
侠	heroic
招贴	placard
所有	all
雪柜	refrigerator
缪	mu
柳橙	orange
行止	whereabouts
块菌	truffle
镇定剂	sedative
阻力	drag
茁壮	flourishing
娇嫩	fragile
赛	competition
矛头	barb
差远	inferior
残骸	remains
沙子	grit
木	coffin
劝服	convince
断语	verdict
后卫	backfield
颛	simple
枯干	withered
潮流	tide
昵	intimate
浴衣	bathrobe
平平常常	unglamorous
头衔	rank
青年期	adolescence
十足	ample
累累	accumulated
草	careless
蜚蠊	cockroach
羊皮纸	parchment
嵘	lofty
连字符	hyphen
多晶	polycrystalline
摘要	summary
输移	transport
联谊	fellowship
三项	triathlon
祭礼	worship
吵杂	noisy
叠加	layering
章	clause
有一些	somewhat
证件	document
死命	doom
稽查	inspection
割据	segmentation
雅量	tolerance
嘉奖	citation
推论	corollary
娇	lovable
简洁	concise
契合	agreement
大气	imposing
粗糙	crude
头路	mate
粗率	rough
魂灵	soul
亲	first-hand
效用	usefulness
诡诈	treacherous
刀光血影	massacre
声浪	clamor
二心	disloyalty
荣美	glorious
移位	translocation
主权	sovereignty
靠得住	reliable
微量	trace
正义	just
继亲	stepmother
透视	perspective
优异	exceptional
电气	electric
常务	routine
装	clothing
朝圣者	pilgrim
部	department
芡粉	cornstarch
透红	rosy
多疑	suspicious
吸力	attraction
回报	retaliation
抓饭	pilaf
吗啡	morphine
新增	additional
一神教	monotheism
遒	robust
气势汹汹	aggressive
旗人	bannerman
憨	tough
炒热	hot
船只	vessel
混子	hoodlum
淫妇	prostitute
香草精	vanilla
刻板	stiff
传粉	pollination
磨牙	molar
乐	happy
物事	stuff
谦逊	modest
忱	honesty
亚克力	acrylic
风光	impressive
屑	trifling
侃	cheerful
无聊	bored
推杆	putter
荷	lotus
行尸走肉	zombie
拼贴	collage
邻近	near
索	isolated
地滑	landslide
执政官	consul
净	net
信用	credit
喜孜孜	transport
演进	evolution
淖	slush
店铺	store
离	without
游戏	game
导管	conduit
土里土气	uncouth
噪	clamor
磁浮	maglev
欢乐	joyous
挺	outstanding
恶棍	rogue
歪斜	askew
殖利	profit
犊	calf
仁爱	compassion
题目	subject
释典	sutras
帚	broom
死不改悔	unrepentant
体态	posture
明摆着	clear
胶质	colloid
火辣辣	scorching
鳍	fin
永久	perpetual
哄抢	looting
分头	severally
抽痛	pang
紧迫	pressing
特此	hereby
稳固	firm
肇事者	offender
镜子	mirror
哀乐	dirge
可	can
音响	sound
奖	encouragement
文雅	refined
卷	volume
上半天	morning
赚头	profit
河豚	blowfish
沉潜	reserved
主	owner
乡巴佬	bumpkin
头昏	dizzy
自恃	self-reliance
事端	incident
腔	tune
专有	proprietary
公断	arbitration
雕花	carving
遐想	daydream
河	river
钳	claw
作	worker
微积分学	calculus
椽子	rafter
爽利	brisk
市	market
哩哩啦啦	scattered
潮	current
眼线	scout
贵族	nobleman
虫子	bug
矿物学	mineralogy
弹簧	spring
象牙	ivory
稍纵即逝	fleeting
感染力	infectious
琐碎	inconsequential
薄暮	twilight
郡望	gentry
常青藤	ivy
聚合体	polymer
漫天	everywhere
恭顺	respectful
堆高机	forklift
环	link
地毯	rug
肖像	likeness
料	material
甲硝唑	metronidazole
总共	altogether
孑遗	relict
汗液	sweat
圆柱	column
切切	urgently
曲折	complicated
字号	shop
喜怒无常	moody
奖学金	scholarship
富有	rich
天王	god
阙	deficiency
针对性	focus
首	head
不新鲜	stale
动作	action
门阶	doorstep
肃然	awed
惊栗	horror
选票	ballot
聚合物	polymer
悖谬	absurd
垠	border
夜总会	nightspot
蕨类	bracken
刑	sentence
松垮	loose
舍	residence
腌猪肉	bacon
避风港	haven
特免	privilege
配伍	compatibility
从者	follower
纸烟	cigarette
用词	wording
性格	nature
滑板	skateboard
线圈	coil
晦气	calamitous
前台	front-end
鼓声	drumbeat
熟习	practiced
玉米	corn
型式	style
自由式	freestyle
热释光	thermoluminescence
飞机	airplane
围巾	shawl
玛瑙	cornelian
港口	port
特定	specific
未了	outstanding
惠斯特	whist
派别	faction
挥发油	gasoline
卤水	marinade
支队	detachment
蹇	nag
子群	subgroup
有时候	sometimes
讲台	desk
钢枪	rifle
扩音器	loudspeaker
踏板	pedal
消防	firefighting
未熟	unripe
煲	saucepan
洽	extensive
心愿	wish
轻盈	graceful
幽微	profound
炮	firecracker
洋洋得意	complacent
乱石	stones
光谱仪	spectrograph
刺身	sashimi
反英雄	antihero
疱疹	blister
合集	compilation
那	how
寂寥	still
明澈	clear
肌腱	sinew
石墨	graphite
绝赞	awesome
文章	article
媒界	medium
对映	enantiomeric
灵敏	smart
浡	full
联集	union
顺气	pleasant
融融	happy
拳	fist
粗	rude
不简单	remarkable
统治	regime
极大	maximum
选址	location
蠢	clumsy
微机	micro
明	bright
缝	seam
宗教徒	disciple
鲜红	scarlet
痘	pimple
阖	door
菜谱	menu
队列	formation
荷	burden
展品	exhibit
集居	community
暂行	provisional
潮	humid
高速公路	freeway
扎实	strong
教育家	educationalist
人参	ginseng
穆	calm
郅	extremely
每	every
营业员	clerk
宛	winding
回扣	brokerage
遍	everywhere
非份	assuming
满	filled
延误	delay
拘票	warrant
热心	zeal
踌躇不决	indecisive
划算	cost-effective
安	still
眩丽	captivating
着陆	landing
雏	chick
愚笨	clumsy
弯子	bend
独独	alone
羽翼	wing
端正	proper
镅	americium
免疫法	immunization
造	crop
路子	way
比武	tournament
上衣	jacket
安	peace
福音书	gospel
个股	share
史家	historian
松露	truffle
桑拿	sauna
怪物	freak
色彩	coloring
䜣	delighted
某甲	somebody
耐久	durable
孤绝	solitary
臀	buttocks
锐利	keen
欢聚	party
占星	horoscope
灵验	accurate
旗舰店	flagship
耸	lofty
见证人	eyewitness
重点	key
塘	embankment
党人	partisan
换向	commutation
施政	administration
剑客	fencer
模式	method
截面	cross-section
未婚夫	fiancé
质点	particle
镜	mirror
活罪	hardship
梁木	lintel
铣工	milling
陈货	remnants
结构	architecture
拘束	uncomfortable
非宗教	secular
乳汁	milk
体量	dimensions
绥靖	appeasement
超重	overweight
快	rate
水分	padding
货盘	pallet
正中	middle
核糖体	ribosome
考古学	archaeology
钢琴	piano
荡气回肠	heart-rending
苦	pain
蛮子	barbarian
丛	thicket
评议会	council
中立性	impartiality
乱石	rocks
贴边	facing
汗衫	undershirt
名人	personage
白喉	diphtheria
音色	timbre
素	vegetarian
均匀性	uniformity
不简单	marvelous
界定	definition
邻人	neighbor
即刻	instant
闭塞	blocking
七十	70
措举	step
城镇	town
邮资	postage
痰	phlegm
囚犯	prisoner
左舷	port
交易员	trader
弹	shot
辱	disgrace
桶	barrel
盘	dish
榛果	hazelnut
聚光灯	spotlight
文献	document
饬	stern
蠢	stupid
人行道	sidewalk
目的	goal
白煤	anthracite
频仍	frequent
触感	touch
雪柜	icebox
戡	kill
真伪	authenticity
做菜	cooking
头家	proprietor
十全	complete
台端	you
代步车	vehicle
沙虫	sandworm
寂寞	silent
信札	letter
叛贼	renegade
试镜	audition
怪僻	peculiar
蚁丘	anthill
写意	enjoyable
三振	strikeout
赏心悦目	delightful
冥顽	stubborn
清澄	limpid
唱诗班	choir
隽	significant
惨无人道	inhuman
中转	transfer
菟丝子	dodder
断	decidedly
雾蒙蒙	hazy
最善	optimal
涎水	saliva
讣	obituary
句	sentence
木桶	cask
微电子学	microelectronics
含量	content
间	between
期限	deadline
啮齿动物	rodent
世	noble
其实	really
女主人公	heroine
谓词	predicate
滤泡	follicle
劝告	advice
提子	grape
曲	bent
相	picture
刺激	irritant
文石	aragonite
自爱	self-respect
折光	refraction
速度计	speedometer
演示	demonstration
理由	justification
平方	square
正则	regular
肺结核	tuberculosis
面镜	mask
坦白	honest
空暇	idle
阴	cloudy
执业	practitioner
硬气	unyielding
帮	clique
气道	flue
好好儿	well
人称	called
片语	phrase
呐喊	cheering
耐力	endurance
龙洞	cave
绦	sash
年庚	age
亭子	pavilion
说得过去	justifiable
扫雪车	snowplow
公民	citizen
着实	harshly
探员	detective
形式	shape
二手	assistant
诞	birth
导播	director
匹	mate
时机	occasion
腐殖土	humus
凡	ordinary
石块	stone
心毒	cruel
宴席	banquet
纹饰	figure
单方	unilateral
师父	master
极大	enormous
触目	obtrusive
密闭	airtight
势利	snobbish
蛭石	vermiculite
过失	error
恶感	malice
微波	microwave
不便	inconvenient
数学	mathematics
不易	unchanging
王权	royalty
碎末	particles
基床	substrate
善	good
中和	neutralization
失意	disappointed
恭喜	congratulations
债	debt
透彻	incisive
拟态	mimicry
蠓	midge
痰	spittle
方面	aspect
容貌	looks
红肿	inflamed
破烂	junk
戚	sorrow
鹄的	objective
路程	route
飞沫	aerosol
婉	tactful
背弃	renounce
过氧	peroxide
惨然	grieved
项目	project
宴乐	feasting
组	team
雄壮	awesome
气宇	bearing
高矗	towering
欣欣向荣	thriving
光谱仪	spectrometer
演替	succession
觞	feast
偏偏	precisely
终端	terminal
恶	fierce
硬件	hardware
腐朽	decadent
铭言	motto
各位	all
设计者	architect
顽匪	bandit
期望	hope
占星家	astrologer
难	difficult
严肃	severe
没劲	exhausted
吃重	important
闭关	seclusion
内向	introverted
陂塘	pond
做派	behavior
草率	careless
调停者	go-between
螺线管	coil
穗	fringe
俗语	proverb
路人	passer-by
瓮	urn
剑鱼	swordfish
反向	reverse
胎生	viviparity
元气	strength
贡献者	benefactor
生硬	stiff
火枪	flintlock
小丑鱼	clownfish
碟	dish
野餐	picnic
当儿	during
黄花	cauliflower
单	single
朝后	backwards
可回收	recyclable
深红色	crimson
居	residence
核桃	walnut
受主	acceptor
对称	symmetry
轻省	easy
少女	girl
一口	flatly
救星	liberator
战士	fighter
逼人	threatening
节	part
章	seal
崩盘	crash
琥珀	amber
新鲜	novel
脏土	trash
罗盘	compass
名学	logic
座子	saddle
降雪	snowfall
可惜	unfortunately
追随者	adherent
增塑剂	plasticizer
小	few
一行	delegation
叮当声	tinkle
油滑	greasy
墓园	graveyard
游丝	gossamer
刺眼	harsh
卯眼	mortise
证明	certificate
当然	certainly
财政	finances
九层塔	basil
直到	until
指导者	guide
河渠	waterway
单侧	one-sided
痴呆症	dementia
楞	distracted
二流子	bum
用量	consumption
芒	arista
货仓	warehouse
邪门	unusual
顺和	gentle
舍利塔	stupa
感情	emotion
亮晶晶	gleaming
僵固性	rigidity
本处	here
耿直	honest
舶	ship
既往	past
人迹罕至	lonely
宿仇	vendetta
甘蓝	cabbage
副	secondary
丑事	scandal
萤石	fluor
最优化	optimization
牢笼	shackles
三度	third
陆	six
冰山	iceberg
单单	just
制裁	sanctions
碱	alkali
反反复复	repeatedly
煞	fiend
睦	harmonious
镖	dart
存款者	saver
开始	beginning
道貌岸然	sanctimonious
诸般	various
虚伪	artificial
行好	philanthropic
会	accounting
张狂	frantic
金钱豹	leopard
几维鸟	kiwi
品级	workmanship
从来	always
砂子	sand
眼睛	eye
分形	fractal
顺坦	smoothly
混	dirty
饮用	drink
空心	hollow
惊悚	thriller
严苛	harsh
蛮	barbarian
脱缰	runaway
殊荣	distinction
忸忸怩怩	timid
轻脆	ringing
庸庸碌碌	ordinary
哗变	rebellion
松软	loose
好转	improvement
历	all
乳香	frankincense
措辞	wording
尿毒症	uremia
肥大	hypertrophy
笑声	laughter
水底	underwater
膂力	strength
倏地	suddenly
欢喜	delighted
便签	note
码头	dock
通行税	toll
灌丛	shrubland
抽筋	cramp
份额	share
表记	souvenir
冰沟	crevasse
脚	base
公开赛	championship
深恶痛绝	anathema
容颜	mien
肺炎	pneumonia
反	anti-
润	sleek
千足虫	millipede
眼角	canthus
腐蚀	corrosion
带电	electrification
定点	specific
管路	piping
芒	awn
失意	frustrated
布尔乔亚	bourgeois
下挫	slump
眼线	spy
前置词	preposition
嫌贫爱富	snobbish
兴会	brainwave
爬虫类	reptiles
行为	action
常时	regularly
堿	base
文明	culture
糟	messy
比邻	neighbor
走步	pace
新生	new
傻乎乎	feeble-minded
靠得住	trustworthy
同比	year-on-year
着床	implantation
仆	servant
疼痛	pain
暗	muddled
金黄	golden
多样	manifold
不可挽回	irreversible
快捷	nimble
予	me
纵	longitudinal
则	then
线路	road
楬	score
震动	shock
郡	county
风范	model
重置	reset
城址	townsite
概率	probability
循环	loop
好玩	amusing
哀歌	elegy
加总	total
口沫	saliva
特别	especially
捌	eight
忸怩	bashful
血族	kin
可能	possibility
目光	view
肖像	portrait
霹雳	thunderbolt
铲	spade
多米诺	domino
闷热	sultry
生辰	birthday
怀	bosom
隐射	innuendo
假	vacation
谋计	scheme
跑	off
青黛	indigo
诅	curse
规制	regulatory
优惠	deal
豪奢	luxurious
履历	résumé
哮鸣	wheezing
肉瘤	sarcoma
龋齿	cavity
专项	dedicated
槲寄生	mistletoe
瘟疫	plague
拮	antagonistic
荧	twinkling
氰化物	cyanide
假若	if
十一	11
咸	each
旅途	journey
大爷	uncle
牙托	denture
器量	tolerance
氢氧化	hydroxide
坏东西	scoundrel
脊	spine
行业	industry
懊恼	annoyed
爽朗	candid
嗓	throat
崔嵬	lofty
栓	pin
莘	numerous
南边	south
脉络	fabric
号子	type
报偿	recompense
最	most
犀利	sharp
清癯	lean
花石	marble
百万富翁	millionaire
字元	character
老师	teacher
本人	personal
发轫	origin
胡乱	careless
论坛	forum
断然	categorically
得	ready
剽	nimble
风成	eolian
丰沛	surging
指令	order
生	uncooked
鬼魅	demon
用人	servant
贡多拉	gondola
宿	old
雨林	rainforest
片面	one-sided
者	-er
蒲式耳	bushel
鸡	fowl
尤其	especially
娱乐场	resort
鲜少	rarely
埼	headland
兆瓦	megawatt
灰色	gray
介系词	preposition
论点	argument
法	law
下坡	downhill
泄泻	diarrhea
冷冷清清	lonely
不亦乐乎	awfully
径直	directly
衬里	lining
真	genuine
可爱	lovely
显贵	royalty
假	artificial
警惕性	vigilance
外皮	carapace
武士刀	katana
受托者	trustee
倾向性	inclination
农民	peasant
研磨	whetstone
所有权	possession
香喷喷	delicious
厚颜	shameless
待遇	pay
耸	high
苦恼	vexed
媒	intermediary
郎中	companions
震感	tremors
表征	representation
强烈	strong
脆片	chip
沙律	salad
种禽	cock
刺激性	spicy
细绳	twine
重叠	reduplication
毛	unthinking
锾	money
文笔	writings
失当	improper
松弛法	relaxation
兼	twice
绿荫	shade
丝	trace
各别	distinct
修道院	convent
精准	exact
利基	niche
水手	mariner
利他	altruism
破败	ruined
噩梦	nightmare
功用	function
伸展	extension
天门冬	asparagus
岸	coast
登山	mountaineering
积极	proactive
灰暗	murky
蛙人	frogman
枪炮	firearm
每	each
楼板	floor
淫	obscene
谓	meaning
雄浑	vigorous
奢靡	extravagant
意志	willpower
堆	pile
精算	actuarial
印刷版	printing
暖炉	radiator
隐睾	cryptorchidism
窄	narrow
旷	loose-fitting
浩然	expansive
生疏	strange
盟	pledge
成千成万	innumerable
小饭馆	canteen
茶坊	teahouse
超绝	preeminent
擞	trembling
股东	shareholder
荫蔽	hidden
明晰	clear
能见度	visibility
和蔼	kindly
似	pseudo-
脑胀	dizzy
轻捷	agile
职	office
折皱	wrinkle
岔道	byway
轻巧	lithe
肆	four
重工业	manufacturing
预料	expectation
兆	trillion
炫	awesome
俊俏	elegant
常	common
武士	warrior
帮助	aid
贫乏	impoverishment
腕	wrist
射程	range
误差	inaccuracy
愤懑	discontented
顶架	cabin
代	generation
时令	season
紧缩	crunch
婿	son-in-law
晚近	recent
庄重	solemn
儿童	child
个子	build
纱丽	sari
议院	congress
扫描器	scanner
白脱	butter
奴	slave
四部曲	tetralogy
血统	parentage
安置	placement
大灾	catastrophe
唯独	only
独轮车	wheelbarrow
路数	method
品红	pink
心肝	humanity
盛	flourishing
名手	master
丧胆	panic-stricken
盒子	box
起因	cause
线路	circuit
喉咙	larynx
寓	residence
石墨	plumbago
英雄	hero
感伤	sentimental
扳手	wrench
领事	consul
黄	yellow
招	device
变节	turncoat
闭合	closed-loop
跨文化	intercultural
脑髓	brain
嶒	lofty
金刚砂	carborundum
失地	dispossessed
轻脆	silvery
羞	ashamed
严	rigorous
前任	predecessor
重孙女	great-granddaughter
白皙	blonde
次	substandard
分数	mark
距离	distance
图集	atlas
悬雍垂	uvula
购物券	coupon
琼	exquisite
T	butch
扁舟	skiff
拍卖会	auction
永世	eternal
堤岸	levee
汇流	convergence
置换	replacement
暂	temporary
杂质	impurity
错落	irregular
木板	board
层	storey
砍刀	machete
情欲	desire
歪斜	oblique
摩登	modern
急切	eager
纷纷	continuously
袅	graceful
黄金	golden
斑块	spot
书函	correspondence
十二分	exceedingly
板球	cricket
溶	soluble
粗糙	rough
风光	grand
通晓	proficient
分歧	disagreement
基床	foundation
洞察力	insight
动机	motive
冷却剂	coolant
元	variable
实际	real
噪音	noise
角膜	cornea
底线	minimum
直观	audiovisual
露台	deck
根源	root
水纹	ripples
金色	golden
罗经	compass
电容	capacitance
套索	noose
肃静	silence
勤苦	assiduous
麻	pitted
用光	exhausted
荣幸	honored
丸	pellet
像	image
干净	neat
鹳	stork
红色	revolutionary
婚事	wedding
喔	oh
投注	betting
声价	reputation
入海口	estuary
合成物	compound
埗	wharf
赘	cumbersome
稳	steady
另用	diversion
细节	particulars
笊篱	strainer
下垂	prolapse
乡巴佬	villager
灯头	light
劲	stalwart
直白	frank
出处	source
僻	low
光亮度	brightness
准将	commodore
猎豹	cheetah
胤	offspring
不得了	exceedingly
层岩	flagstone
汽船	steamship
老迈	aged
鼓膜	tympanum
手肘	elbow
安顿	peaceful
卢比	rupee
狐狸精	vixen
两袖清风	uncorrupted
出产	produce
暴露癖	exhibitionism
霸	hegemon
峭壁	precipice
桶	can
母线	bus
轴承	bearing
无谓	pointless
关乎	concerning
气象	atmosphere
懵懵懂懂	confused
径迹	track
赤褐色	reddish-brown
鱼狗	kingfisher
乐律	temperament
突触	synapse
笔墨	writing
工具	tool
稳静	steady
泥土	earth
社稷	country
明智	sagacious
脱水	dehydrated
缔	connection
通盘	comprehensive
港	harbor
割据	division
周	cycle
坦克车	tank
全国性	national
抚抱	caress
拖把	mop
行迹	traces
家属	dependent
不兴	outmoded
客栈	tavern
红辣椒	chili
感性	perception
前边	front
头子	boss
嫩	delicate
试听	audition
功课	classwork
豪迈	heroic
补益	benefit
炊具	cooker
您好	hello
气势	vigor
插销	bolt
浴盆	bathtub
捆	bundle
热诚	devotion
绉	crepe
煎熬	torture
怕羞	shy
滋补	nutritious
园囿	park
待遇	salary
荒	uncultivated
葱郁	verdant
清凉	skimpy
量化	quantization
碳粉	toner
束腹	girdle
愈加	further
形像	image
心路	scheme
俊	neat
包米	corn
报道	report
水生	aquatic
州立	state-run
发布会	briefing
镊	pliers
底	background
变色龙	chameleon
心眼	conscience
伸缩	flexible
口吻	muzzle
垒	base
面	flour
戛	custom
活化	activation
挥发	volatile
气管	windpipe
袜	socks
点阵	bitmap
赶	until
响板	castanets
舍己为人	altruism
满不在乎	unperturbed
蒙	blind
试样	model
违禁	prohibited
逐行	progressive
境	border
下身	genitalia
雷	mine
边框	frame
长	elder
风钻	jackhammer
钮带	ties
巍然	towering
原告	plaintiff
大臣	chancellor
荣誉	honorary
海蛎	oyster
无翅	wingless
明火	flame
凹槽	notch
固	indeed
窳	weak
财产	property
例行	routine
哈利路亚	hallelujah
热忱	zeal
骡	mule
正当	honest
联袂	jointly
际遇	luck
不舒服	uneasy
吸虫	fluke
夹具	clamp
惚	indistinct
电梯	escalator
很多时	often
蜜	honey
出血	bleeding
钳子	earring
自知之明	self-knowledge
柱梁	pillar
硬	good
多寡	number
主意	plan
口吻	snout
蠢猪	idiot
牢狱	prison
拙朴	austere
苦楚	suffering
那阵	then
亲睦	friendly
淘气	mischievous
放肆	wanton
乐观	optimistic
贸然	rashly
闪闪	glistening
仟	thousand
返利	rebate
原函数	antiderivative
水壶	kettle
硬生生	forcibly
手续费	commission
庆祝会	celebration
贪	corrupt
进程	process
牙本质	dentine
拨子	plectrum
精深	refined
扯皮	wrangling
防晒油	sunscreen
慈姑	arrowhead
山岳	hill
错	complex
岐视	discrimination
端	item
融和	warm
逼真	lifelike
执事	you
轻型	light
晰	white
堤防	levee
同源	homology
暖烘烘	cosy
齐膝	knee-length
嗳气	belching
厚颜无耻	shameless
通气会	briefing
不孚众望	unpopular
启示	moral
损失	loss
夹	between
闭塞	inaccessible
觚	rule
稀罕	rarity
真是	truly
中庭	courtyard
锨	shovel
泥坑	mire
小树	shrub
母系	matriarchal
缊	hemp
入息	income
吝啬鬼	miser
方式	manner
反躬自问	introspection
字面	literal
幽暗	gloom
合法化	legalization
瓷实	firm
考核	appraisal
火	ammunition
漂砾	boulder
劲头	strength
教训	lesson
玄关	vestibule
电镀	electroplated
不赀	incalculable
多数	majority
各位	everybody
最近	recent
无题	untitled
中尉	lieutenant
伦理	ethics
取向	direction
欢声	cheers
忌	dread
幅度	scope
舄	shoe
瓦匠	bricklayer
手段	strategy
程	regulations
哨兵	sentinel
具体	concrete
柱塞	piston
抗菌素	antibiotic
授乳	breast-feeding
雍和	harmony
桨	paddle
挑逗性	provocative
小斑点	speckle
不移	steadfast
分册	volume
颤巍巍	tottering
惺忪	indecisive
其	her
背时	outdated
顿时	immediately
糊里糊涂	vague
明确	clear-cut
吊绳	sling
耿直	candid
烟碱	nicotine
充足	adequate
门岗	gate
毛刺	whiskers
仍	yet
硬	resolutely
烟民	smokers
娜	graceful
义理	argumentation
天文	astronomy
星光	starlight
帅	graceful
趸船	barge
格局	pattern
附庸	appendage
隔阂	barrier
栅栏	fence
普级	general
昵称	nickname
麻黄碱	ephedrine
用具	gear
五度	fifth
菌	bacteria
刻苦	hardworking
偏偏	contrarily
痼	long-term
颓	dispirited
嗲	coy
磁石	magnet
暴食症	bulimia
界别	kingdom
钫	francium
无物	empty
阴蒂	clitoris
傻冒	foolish
活性	activity
大神	deity
经济学	economics
妙趣	witty
阴阳怪气	mystifying
样式	type
圣药	panacea
承销人	salesman
文体	style
计数器	counter
避风港	harbor
雷同	identical
锉	file
肝炎	hepatitis
休克	shock
仙人掌	cactus
冒牌货	forgery
装置	device
情妇	paramour
荡妇	prostitute
坦途	highway
纯素	plain
俊雅	elegant
复式	double-entry
家具	furniture
形迹	trace
飨宴	banquet
支持	support
干巴巴	dull
端庄	composed
胜	victorious
看不见	unseen
一半	half
不可或缺	necessary
安逸	easy
文盲	illiterate
草皮	sod
棒材	bar
石蕊	litmus
先期	premature
果子	fruit
细毛	fuzz
大麻	hemp
显要	dignitary
深谋	forethought
壤	earth
印象派	impressionism
紧巴	tight
教育学	pedagogy
多寡	amount
冰凉	ice-cold
烦琐	pedantic
布林	plum
姘夫	lover
愧怍	ashamed
橡胶	rubber
守势	guard
空手	unarmed
飒	melancholy
冰碛	moraine
门户	brothel
车库	garage
老本	capital
森	forest
勤劳致富	self-made
固	strong
文明	civilization
联盟	coalition
微缩	micro-
心灵手巧	capable
自个儿	oneself
浓	strong
鸭子	duck
可见	clear
肥实	fat
颜	color
怨声	wail
手套箱	glovebox
布斐	buffet
体例	style
夜半	midnight
邻区	vicinity
软毛	fur
想法	notion
所知	known
谨严	meticulous
炮仗	firecracker
魔幻	magical
合	whole
碱度	alkalinity
债务	liability
备中	remarks
菲	humble
雾霭	mist
之间	among
怯懦	timid
薪俸	pay
螺栓	screw
分别	difference
占星学	astrology
总括	all-inclusive
机械	cunning
进项	income
本科	undergraduate
浓	dense
精心	detailed
刽子手	slaughterer
燿	brilliant
且	both
声明	declaration
蓬蓬	abundant
借代	metonymy
舰艇	warship
典章	institutional
失真	distortion
艰难	difficult
怗	peaceful
枕边人	spouse
表白	declaration
走道	sidewalk
贴题	pertinent
十字路口	crossroads
扎营	quartered
副主席	vice-chairperson
吝啬	stingy
构型	structure
二甘醇	glycerin
感知	awareness
流派	tributary
秘诀	recipe
渠道	means
集群	clan
哀歌	dirge
无把握	uncertain
裂纹	flaw
耐受力	hardiness
褴褛	shabby
条件式	conditional
着数	gambit
概观	overview
苦衷	difficulties
潜望镜	periscope
独步	prominent
酪蛋白	casein
脚夫	bearer
惊悚	horror
清	distinct
树袋熊	koala
请愿	petition
慈	kind
全副	completely
包囊	bag
浮躁	scatterbrained
数据	digital
弦月	half-moon
横梁	beam
栏位	field
第	order
活检	biopsy
反应	response
境	territory
幻觉	hallucination
变幻莫测	unpredictable
火红	fiery
飘忽	fleet
铁	weapons
佡	light
浅尝	amateur
美沙酮	methadone
浩淼	vast
公允	equitable
交火	firefight
运筹	logistics
电视	television
变种	variety
则	principle
径迹	diameter
哀鸣	whine
佺	immortal
僻	secluded
电报机	telegraph
民宿	guesthouse
斯文	gentle
倍	double
一定	certainly
保险套	condom
要领	gist
蚯	earthworm
漆黑一团	pitch-black
爱国	patriotic
向例	custom
同样	same
型态	shape
短期	short-term
无可挽回	irrevocable
东家	landlord
类别	category
势力	influence
一次	first
手下	subordinates
菠萝蜜	jackfruit
递推	recursive
颓	balding
基址	ruins
再审	review
车	vehicle
门廊	patio
构思	plan
叮咬	bite
露营	camping
空头	bear
咚咚	thud
纭	confused
策	plan
仅仅	only
山丘	hill
诚信	genuine
可怕	dreadful
先驱者	pioneer
胡萝卜素	carotene
珠	pearl
寄生虫	freeloader
愓	profligate
虎头蜂	hornet
少有	infrequent
牙周病	periodontitis
残余物	trash
霸气	hegemony
绚	gorgeous
提纲	notes
刨子	plane
铃鼓	tambourine
明	clear
昏迷	coma
分系统	subsystem
至高	paramount
法衣	vestment
样品	specimen
合约	contract
权利	power
代偿	compensation
卤水	brine
轮唱	canon
猝然	suddenly
玩世不恭	frivolous
滑翔伞	paragliding
火热	burning
丈夫	husband
规章	rule
无原则	unprincipled
将要	shall
取消	cancellation
系统	system
人气	personality
螃蟹	crab
合气道	hapkido
功课	assignment
题解	key
成果	result
忘情	indifferent
稳步	steadily
朝觐	hajj
管道	pipeline
通用	interchangeable
粗略	rough
二来	secondly
古老	age-old
凑巧	fortuitously
恩情	favor
跳蚤	flea
面积	area
足额	sufficient
军	army
气壮山河	inspiring
麻痹	palsy
分层	lamination
部	board
辔头	bridle
疏放	unbuttoned
冗余	redundant
罪孽	wrongdoing
报酬	remuneration
流行	popular
移动	movement
人形	doll
谅解	understanding
梅子	plum
寿	life
恬静	peaceful
题	topic
势态	situation
座堂	cathedral
访问者	interviewer
卵子	ovum
基地	base
枝子	branch
纯品	sterling
笨拙	clumsy
卡	card
市立	municipal
分词	participle
颠沛	destitute
鸡婆	hen
踪影	presence
豪宅	mansion
美好	beautiful
微粒	speck
酷	strong
感动	moving
技俩	ploy
